id,abbreviation,offset,locale,description
48,CDT,-4,Caribbean,Cuba Daylight Time
49,CEST,2,"Europe, Antarctica","Central European Summer Time, CEDT - Central European Daylight Time, ECST - European Central Summer Time, MESZ - Mitteleuropaische Sommerzeit (German)"
50,CET,1,"Europe, Africa","Central European Time, ECT - European Central Time, CET - Central Europe Time, MEZ - Mitteleuropaische Zeit (German)"
51,CHADT,13.75,Pacific,"Chatham Island Daylight Time, CDT - Chatham Daylight Time"
52,CHAST,12.75,Pacific,Chatham Island Standard Time
53,CHOST,9,Asia,"Choibalsan Summer Time, CHODT - Choibalsan Daylight Time, CHODST - Choibalsan Daylight Saving Time"
54,CHOT,8,Asia,Choibalsan Time
55,CHUT,10,Pacific,Chuuk Time
56,CIDST,-4,Caribbean,Cayman Islands Daylight Saving Time
57,CIST,-5,Caribbean,"Cayman Islands Standard Time, CIT - Cayman Islands Time"
58,CKT,-10,Pacific,Cook Island Time
59,CLST,-3,"South America, Antarctica","Chile Summer Time, CLDT - Chile Daylight Time"
60,CLT,-4,"South America, Antarctica","Chile Standard Time, CT - Chile Time, CLST - Chile Standard Time"
61,COT,-5,South America,Colombia Time
62,CST,-6,"North America, Central America","Central Standard Time, CT - Central Time, NACST - North American Central Standard Time, CST - Tiempo Central Estandar (Spanish), HNC - Heure Normale du Centre (French)"
63,CST,8,Asia,China Standard Time
64,CST,-5,Caribbean,Cuba Standard Time
65,CT,-6,North America,Central Time
66,CVT,-1,Africa,Cape Verde Time
67,CXT,7,Australia,Christmas Island Time
68,ChST,10,Pacific,"Chamorro Standard Time, GST - Guam Standard Time"
69,D,4,Military,Delta Time Zone
70,DAVT,7,Antarctica,Davis Time
71,DDUT,10,Antarctica,Dumont-d'Urville Time
72,E,5,Military,Echo Time Zone
73,EASST,-5,Pacific,"Easter Island Summer Time, EADT - Easter Island Daylight Time"
74,EAST,-6,Pacific,Easter Island Standard Time
75,EAT,3,"Africa, Indian Ocean","Eastern Africa Time, EAT - East Africa Time"
76,ECT,-5,South America,Ecuador Time
77,EDT,-4,"North America, Caribbean","Eastern Daylight Time, EDST - Eastern Daylight Savings Time, NAEDT - North American Eastern Daylight Time, HAE - Heure Avancee de l'Est (French), EDT - Tiempo de verano del Este (Spanish)"
78,EEST,3,"Europe, Asia","Eastern European Summer Time, EEDT - Eastern European Daylight Time, OESZ - Osteuropaische Sommerzeit (German)"
79,EET,2,"Europe, Asia, Africa","Eastern European Time, OEZ - Osteuropaische Zeit (German)"
80,EGST,0,North America,"Eastern Greenland Summer Time, EGST - East Greenland Summer Time"
81,EGT,-1,North America,"East Greenland Time, EGT - Eastern Greenland Time"
82,EST,-5,"North America, Caribbean, Central America","Eastern Standard Time, ET - Eastern Time, NAEST - North American Eastern Standard Time, ET - Tiempo del Este (Spanish), HNE - Heure Normale de l'Est (French)"
83,ET,-5,"North America, Caribbean",Eastern Time
84,F,6,Military,Foxtrot Time Zone
85,FET,3,Europe,Further-Eastern European Time
86,FJST,13,Pacific,"Fiji Summer Time, FJDT - Fiji Daylight Time"
87,FJT,12,Pacific,Fiji Time
88,FKST,-3,South America,"Falkland Islands Summer Time, FKDT - Falkland Island Daylight Time"
89,FKT,-4,South America,"Falkland Island Time, FKST - Falkland Island Standard Time"
90,FNT,-2,South America,Fernando de Noronha Time
91,G,7,Military,Golf Time Zone
92,GALT,-6,Pacific,Galapagos Time
93,GAMT,-9,Pacific,"Gambier Time, GAMT - Gambier Islands Time"
94,GET,4,"Asia, Europe",Georgia Standard Time
95,GFT,-3,South America,French Guiana Time
96,GILT,12,Pacific,Gilbert Island Time
97,GMT,0,"Europe, Africa, North America, Antarctica","Greenwich Mean Time, UTC - Coordinated Universal Time, GT - Greenwich Time"
98,GST,4,Asia,Gulf Standard Time
99,GST,-2,South America,South Georgia Time
100,GYT,-4,South America,Guyana Time
101,H,8,Military,Hotel Time Zone
102,HDT,-9,North America,"Hawaii-Aleutian Daylight Time, HADT - Hawaii Daylight Time"
103,HKT,8,Asia,Hong Kong Time
104,HOVST,8,Asia,"Hovd Summer Time, HOVDT - Hovd Daylight Time, HOVDST - Hovd Daylight Saving Time"
105,HOVT,7,Asia,Hovd Time
106,HST,-10,"North America, Pacific","Hawaii Standard Time, HAST - Hawaii-Aleutian Standard Time"
107,I,9,Military,India Time Zone
108,ICT,7,Asia,Indochina Time
109,IDT,3,Asia,Israel Daylight Time
110,IOT,6,Indian Ocean,Indian Chagos Time
111,IRDT,4.5,Asia,"Iran Daylight Time, IRST - Iran Summer Time, IDT - Iran Daylight Time"
112,IRKST,9,Asia,Irkutsk Summer Time
113,IRKT,8,Asia,Irkutsk Time
114,IRST,3.5,Asia,"Iran Standard Time, IT - Iran Time"
115,IST,5.5,Asia,"India Standard Time, IT - India Time, IST - Indian Standard Time"
116,IST,1,Europe,"Irish Standard Time, IST - Irish Summer Time"
117,IST,2,Asia,Israel Standard Time
118,JST,9,Asia,Japan Standard Time
119,K,10,Military,Kilo Time Zone
120,KGT,6,Asia,Kyrgyzstan Time
121,KOST,11,Pacific,Kosrae Time
